iter	MAE
0	0.2630613419
1	0.2567468149
2	0.250730547
3	0.2446921212
4	0.2389231758
5	0.2333605594
6	0.2279586678
7	0.2228369344
8	0.2178202945
9	0.2129842266
10	0.2081447181
11	0.2036826876
12	0.1993185804
13	0.1950680417
14	0.1909502373
15	0.1869150718
16	0.1832067969
17	0.1795154336
18	0.1758874091
19	0.1723306872
20	0.1688649647
21	0.1654377682
22	0.162294836
23	0.1592288176
24	0.156317624
25	0.1534263167
26	0.1506610158
27	0.1480983794
28	0.1454701209
29	0.142895205
30	0.1404497379
31	0.1382519083
32	0.1359771741
33	0.133680631
34	0.1316879043
35	0.12955545
36	0.127570014
37	0.1256265154
38	0.12368099
39	0.1218292174
40	0.1200609789
41	0.1183823692
42	0.1167666897
43	0.1152510992
44	0.1137874069
45	0.1123980069
46	0.1110072288
47	0.1095937755
48	0.108235253
49	0.106921064
50	0.1056917268
51	0.1045143568
52	0.1033552892
53	0.1022734643
54	0.1011466207
55	0.1001521182
56	0.09909781809
57	0.09813078595
58	0.0971511818
59	0.09620572368
60	0.09527858343
61	0.09440695254
62	0.09364144754
63	0.09284502187
64	0.09206998828
65	0.09131755114
66	0.09055863738
67	0.08989713391
68	0.0892122535
69	0.08858757417
70	0.0879976568
71	0.0874074375
72	0.08683518509
73	0.08627664963
74	0.08572348847
75	0.08522880725
76	0.08472832136
77	0.08424747216
78	0.08375744828
79	0.08330742765
80	0.0828582241
81	0.08241229624
82	0.08197959661
83	0.08159890696
84	0.08120514386
85	0.08082830314
86	0.08045550491
87	0.08009210132
88	0.07974385407
89	0.07941946334
90	0.07911545216
91	0.07882557586
92	0.07854193574
93	0.07826757476
94	0.0780004384
95	0.07775572487
96	0.07750943158
97	0.0772529422
98	0.07700325332
99	0.07677191978
100	0.07656804053
101	0.07633438553
102	0.07613080351
103	0.07594111209
104	0.07573969149
105	0.07556050155
106	0.07538394283
107	0.07520441126
108	0.07503904646
109	0.07486798829
110	0.07472650118
111	0.07457719176
112	0.07443776338
113	0.07429163289
114	0.07416778801
115	0.07405029718
116	0.07393516472
117	0.07382311788
118	0.07370361529
119	0.07359890773
120	0.07349253599
121	0.07339695021
122	0.07329942587
123	0.07319544376
124	0.07310734891
125	0.07302859224
126	0.07294528469
127	0.07286844188
128	0.07278881215
129	0.07271336067
130	0.07263798006
131	0.07256947934
132	0.07250132819
133	0.07242828564
134	0.07236574125
135	0.07229406591
136	0.07222526104
137	0.07216498613
138	0.07211176777
139	0.07206870584
140	0.07201021895
141	0.07195711229
142	0.07190963027
143	0.07186074235
144	0.0718127502
145	0.07176439211
146	0.07171847545
147	0.07166925876
148	0.07162354081
149	0.07158769317
150	0.07155588443
151	0.07152405726
152	0.07149536727
153	0.07146263227
154	0.07143280574
155	0.07140033854
156	0.07137182966
157	0.07133896591
158	0.07131026797
159	0.07128118389
160	0.07125051917
161	0.07122544923
162	0.07119705169
163	0.07116999992
164	0.07114429308
165	0.07112119708
166	0.07110249743
167	0.07108180218
168	0.07105998217
169	0.07103853927
170	0.07101953105
171	0.07099871622
172	0.07098093447
173	0.07096356174
174	0.07094844817
175	0.07093294621
176	0.07091656111
177	0.07090188332
178	0.0708893287
179	0.07087710312
180	0.07086465786
181	0.07085236639
182	0.07084232809
183	0.07083076485
184	0.07082151408
185	0.07081140547
186	0.07080343427
187	0.07079379263
188	0.07078513104
189	0.07077644041
190	0.07076994203
191	0.07076244085
192	0.07075632463
193	0.07075117038
194	0.0707460069
195	0.07074108821
196	0.07073515818
197	0.07073003068
198	0.07072575031
199	0.07072136729
200	0.07071622779
201	0.07071314025
202	0.07070925767
203	0.07070547425
204	0.07070170745
205	0.07069838842
206	0.07069471974
207	0.07069211974
208	0.07068928145
209	0.07068671214
210	0.07068357759
211	0.07068131982
212	0.0706787573
213	0.07067555291
214	0.07067282899
215	0.07066976931
216	0.07066667431
217	0.0706649995
218	0.07066304254
219	0.07066102008
220	0.07065963651
221	0.07065826461
222	0.07065618035
223	0.07065412988
224	0.07065252705
225	0.0706510089
226	0.07064949353
227	0.07064747759
228	0.07064581586
229	0.07064379779
230	0.07064187744
231	0.07064017257
232	0.0706380258
233	0.07063658589
234	0.07063528971
235	0.07063411159
236	0.0706319326
237	0.07063018616
238	0.07062919848
239	0.07062816377
240	0.07062701496
241	0.07062560209
242	0.0706239097
243	0.07062295003
244	0.07062184437
245	0.07062060233
246	0.0706196429
247	0.07061802306
248	0.07061701286
249	0.0706160138
250	0.07061494215
251	0.07061372939
252	0.07061239202
253	0.07061153177
254	0.07061027879
255	0.07060922346
256	0.07060867573
257	0.07060784177
258	0.07060682997
259	0.07060611725
260	0.07060531651
261	0.07060421454
262	0.07060328095
263	0.07060225519
264	0.07060120576
265	0.07060026663
266	0.07059893207
267	0.07059799951
268	0.07059676607
269	0.07059589271
270	0.0705947097
271	0.07059419198
272	0.07059382981
273	0.07059252917
274	0.07059163734
275	0.07059090349
276	0.07059018065
277	0.07058935037
278	0.07058866774
279	0.07058728817
280	0.07058680441
281	0.07058632408
282	0.07058514801
283	0.07058420273
284	0.07058371986
285	0.07058309473
286	0.07058230395
287	0.07058140566
288	0.07058053595
289	0.07057957075
290	0.07057879605
291	0.07057810107
292	0.07057718598
293	0.07057637068
294	0.07057564322
295	0.07057514167
296	0.07057480335
297	0.07057409675
298	0.07057329679
299	0.0705728979
300	0.07057234746
301	0.07057183024
302	0.07057099375
303	0.07056967416
304	0.07056872859
305	0.07056836691
306	0.07056789636
307	0.07056731316
308	0.07056676467
309	0.07056603093
310	0.07056520776
311	0.07056428946
312	0.07056351974
313	0.07056265345
314	0.07056211989
315	0.0705613697
316	0.07056043472
317	0.07055991052
318	0.0705593109
319	0.07055854394
320	0.07055752429
321	0.07055669614
322	0.07055544726
323	0.07055511002
324	0.07055403796
325	0.0705534116
326	0.07055309479
327	0.07055262497
328	0.07055146395
329	0.07055077626
330	0.07055009517
331	0.07054944507
332	0.07054878415
333	0.07054814852
334	0.07054755444
335	0.07054735785
336	0.07054637638
337	0.07054562623
338	0.0705451908
339	0.07054437804
340	0.07054394118
341	0.07054319407
342	0.07054249007
343	0.07054198354
344	0.07054150269
345	0.07054088597
346	0.07054031382
347	0.07053955585
348	0.07053887041
349	0.07053825447
350	0.07053776853
351	0.07053738475
352	0.07053712858
353	0.0705364634
354	0.07053594284
355	0.07053556277
356	0.0705349476
357	0.07053422819
358	0.07053327443
359	0.07053254878
360	0.07053183118
361	0.07053130907
362	0.07053061306
363	0.07053019287
364	0.07052930361
365	0.07052812415
366	0.07052778709
367	0.07052723239
368	0.07052671786
369	0.070526336
370	0.07052586603
371	0.07052512453
372	0.07052476207
373	0.07052448581
374	0.0705238012
375	0.07052328548
376	0.07052261622
377	0.07052182071
378	0.07052102552
379	0.07052045535
380	0.07052021868
381	0.07051987062
382	0.07051910309
383	0.07051797561
384	0.07051703738
385	0.07051655339
386	0.070515674
387	0.07051523618
388	0.07051473219
389	0.07051410757
390	0.07051316918
391	0.07051221938
392	0.07051186299
393	0.07051157362
394	0.07051050213
395	0.07050962288
396	0.07050889159
397	0.07050848338
398	0.0705076795
399	0.0705065891
400	0.07050575788
401	0.07050490578
402	0.07050431069
403	0.07050358932
404	0.07050272735
405	0.07050175924
406	0.07050108766
407	0.07050020444
408	0.07049934318
409	0.07049847531
410	0.07049761864
411	0.07049670464
412	0.0704958497
413	0.07049540699
414	0.07049465915
415	0.07049359695
416	0.07049320203
417	0.07049255351
418	0.07049165064
419	0.07049125897
420	0.07049016555
421	0.07048939059
422	0.07048853346
423	0.07048799736
424	0.07048772008
425	0.07048673051
426	0.07048612081
427	0.07048522867
428	0.07048496374
429	0.07048472219
430	0.07048437074
431	0.07048376759
432	0.0704829265
433	0.07048194101
434	0.07048153625
435	0.07048073576
436	0.07048026266
437	0.07047986617
438	0.07047931309
439	0.07047850771
440	0.07047768073
441	0.07047727194
